geoid,total_population
53003960100,4320
53003960300,3633
53003960400,2517
53003960500,3517
53003960600,3894
53005010201,5440
53005010300,6314
53005010400,3469
53005010500,3050
53005010701,2035
53005010703,3316
53005010705,5256
53005010707,3500
53005010708,3792
53005010807,1813
53005010811,5113
53005010814,5250
53033029405,5730
53033029406,4754
53033029407,4832
53033029408,4535
53033029504,6053
53033029602,6510
53061053802,6143
53061940002,3793
53063000400,3853
53063000500,3522
53063000600,3246
53063000700,5244
53063000800,5281
53063001100,3444
53063001200,2476
53063001300,3424
53063001400,6202
53063001500,5777
53063001600,3344
53063001800,2903
53063001900,3652
53063002000,4072
53063002100,2606
53063002300,4824
53063002400,2977
53063002600,4857
53063002900,3246
53063003000,2557
53063003100,5004
53063003200,2865
53063003500,2671
53063003900,2153
53063004100,2221
53005011501,6584
53005011600,977
53007960100,2137
53007960400,3630
53007960700,3922
53007960801,2845
53007961200,4558
53033030503,5101
53033030504,4845
53033030600,5951
53033030700,4162
53033030802,3530
53033031000,4300
53033031204,6211
53033031206,5630
53033031501,3967
53033031502,4740
53033031601,5551
53033031603,6967
53033031604,5641
53033031605,4767
53033031704,6528
53033031705,4137
53033031800,4908
53033031904,3545
53033031906,3640
53033031908,4347
53033031909,3191
53033032002,2966
53033032003,5528
53033032005,7449
53033032006,5505
53033032007,3459
53063004200,4726
53063004300,3441
53063004400,4790
53063004500,3605
53063004601,3876
53063004602,3145
53063004800,4083
53063004900,5708
53063005000,4395
53063010201,4332
53063010303,3572
53063010304,5700
53063010305,7606
53063010504,3367
53063010601,3959
53063010800,2313
53063011000,3461
53063011102,4403
53063011202,4039
53007961301,1353
53009000600,3986
53009000700,3747
53009000800,3957
53009000900,2981
53009001000,2670
53009001100,3375
53009001200,4094
53009001300,3407
53009001500,2394
53009002100,3664
53009990100,0
53011040102,3828
53011040203,4938
53011040301,2011
53011040403,3900
53011040407,6502
53011040408,3938
53011040409,2346
53011040411,2490
53011040412,5200
53011040413,3113
53011040414,6631
53033032008,4722
53033032010,6593
53033032011,4280
53033032307,6282
53033032311,6109
53033032319,6515
53033032320,4960
53033032321,7314
53033032322,3166
53033032326,4011
53033032401,6023
53063011500,1641
53063011600,1742
53063011701,2249
53063011702,7531
53063011900,5189
53063012000,3974
53063012100,2551
53063012200,2303
53063012300,6150
53063012401,5856
53063012500,3729
53063012600,4153
53063012801,4322
53063012802,3675
53063013401,5500
53063014200,3547
53063014300,2939
53063014400,4470
53011040415,4527
53011040416,3816
53011040504,4977
53011040505,5935
53011040511,2227
53011040603,4760
53011040703,6304
53011040706,4290
53011040707,3677
53011040709,4957
53011040711,3154
53011040712,6327
53011040803,5139
53011040806,5414
53011040808,1674
53011040809,5972
53011040810,3833
53011040904,6185
53011040905,3650
53011040907,6504
53011040908,6893
53011040909,4903
53011040910,4721
53011041005,2159
53011041007,3784
53011041008,4655
53011041009,3769
53011041010,3820
53033032800,2744
53033990100,0
53035090101,6355
53035090102,5895
53035090201,5214
53035090202,5160
53035090501,4705
53035090502,4625
53063014500,2001
53065941000,2203
53065950700,2424
53065950800,3316
53067010100,3163
53067010200,4900
53067010300,5015
53067010510,3139
53067010520,6279
53067010600,6359
53067010910,7559
53067010920,4945
53067011000,4654
53067011100,4526
53067011200,5317
53067011500,6649
53011041107,2980
53035092901,5947
53035940000,3564
53035940100,6338
53037975402,5052
53037975500,6803
53037975600,3053
53037975700,4965
53039950200,4073
53067011810,4099
53067011822,3833
53067012100,4670
53067012211,2794
53067012221,7408
53067012330,5311
53067012412,5917
53067012510,3294
53067012710,2278
53067012720,7139
53067012730,6007
53069950100,4318
53071920000,5852
53071920100,5073
53015000400,4084
53015000501,3355
53015000601,3782
53015000602,3146
53015000702,3073
53015000703,1511
53015001900,5939
53015002001,3451
53015002100,4306
53017950400,8050
53017950500,3182
53041970200,3715
53041970300,5633
53041970400,6401
53041970500,2036
53041970600,1881
53041970700,4321
53041970800,4834
53041970900,2210
53041971000,3013
53041971100,4228
53041971200,4146
53041971300,5796
53041971400,2893
53041971600,4010
53041971700,4283
53041971800,3882
53041971900,2799
53043960100,1852
53045940000,746
53045960100,696
53045960500,4681
53045960600,4610
53045960700,2009
53045960800,3863
53045960900,4859
53045961000,5307
53045961200,4424
53073010301,6797
53017950600,4173
53017950700,4145
53017950800,5985
53021020700,1318
53025010300,4750
53025010500,3006
53025010600,7936
53025010700,3252
53025010800,5320
53025010901,1716
53047970400,3819
53047970900,2568
53047971000,4127
53049950400,3542
53051970200,2824
53051970300,3238
53051970400,2682
53051970500,2871
53073010600,7143
53073011000,1100
53075000300,6061
53075000800,3686
53075000900,3903
53025011200,6724
53025011401,2286
53027000700,4213
53027000800,4527
53027000900,5936
53027001000,4009
53027001100,4280
53027001200,4355
53027001300,3369
53027001400,1993
53027001500,4079
53027940000,881
53029970100,2492
53029970200,2452
53029970300,4388
53029970500,6649
53029970601,3645
53029970602,3188
53029970700,2125
53029970800,2804
53029970900,5112
53029971000,5376
53029971100,3354
53029971400,4737
53053070100,3795
53077001601,2310
53077001702,6103
53077001901,3859
53077001902,6729
53077002101,2297
53077002801,5865
53077940002,4731
53077940005,4727
53077940006,4614
53029971700,4402
53029972000,4343
53029972100,3536
53031950400,4020
53031950602,3342
53031950702,2368
53033000300,2943
53033000402,5374
53033000500,3143
53033000700,5529
53033000800,2849
53033000900,2203
53033001000,2037
53033001100,2713
53033001300,4998
53033001400,5517
53033001500,2873
53033001600,4903
53033001701,4442
53033001702,5121
53033001800,5059
53033001900,5100
53033002000,4120
53033002100,4584
53033002200,6147
53033002400,3311
53033002500,3561
53033002600,5598
53033002700,6129
53033002800,5205
53033002900,4744
53033003000,6509
53033003100,6718
53033003400,3735
53033003500,4370
53033003800,2585
53033003900,3110
53033004000,3320
53033004301,3870
53033004302,4212
53033004500,3504
53033004600,3660
53033004800,5452
53033005000,4376
53033005100,3750
53053072601,5709
53053072602,4127
53053072603,6535
53053073001,6528
53053073005,4430
53053073006,4306
53033005600,7112
53033005700,6920
53033005801,6552
53033006000,6460
53033006100,5743
53033006200,4543
53033006300,5856
53033006400,3732
53033006500,4843
53033006600,4386
53033006800,3323
53033006900,5159
53033007600,4786
53033007700,5562
53033007800,6178
53033008002,3936
53053073116,5070
53053073117,3866
53053073119,2783
53053073200,6616
53033008200,4509
53033008300,3299
53033008500,4385
53033008600,6757
53033008700,4599
53033008800,4695
53033008900,6509
53033009000,3720
53033009100,2813
53033009200,2762
53033009300,3095
53033009400,7086
53033009500,7157
53033009600,5898
53033009701,6505
53033009702,5595
53033009900,6078
53033010001,4390
53033010002,5095
53033010200,5039
53033010401,4500
53033010402,4856
53033010701,4267
53033010702,4866
53033010800,5159
53033010900,1070
53033011001,5439
53033011002,4348
53033011101,5168
53033011102,5643
53033011200,3793
53033011300,6585
53033011401,4881
53057950900,4334
53057951300,2123
53057951400,4217
53057951600,5116
53057951700,3907
53057951800,5216
53057951900,3987
53057952100,3339
53057952200,4677
53057952301,5209
53057952401,2643
53057952500,2707
53057952600,4171
53033011402,4411
53033011500,4464
53033011700,5761
53033012000,3538
53033012100,2740
53033020100,3251
53033020200,5411
53033020401,3821
53033020402,5326
53033020500,7372
53033020600,3681
53033020700,4075
53033020800,4363
53033020900,3422
53033021000,5887
53033021100,4395
53033021300,4189
53033021400,3868
53033021500,4658
53033021600,5112
53033021802,6065
53033021803,5565
53033021804,5321
53033021903,6409
53033021904,5508
53033021905,5806
53033021906,4695
53033022001,5367
53033022003,5488
53033022101,4971
53033022102,6647
53033022201,4685
53059950200,4774
53061040900,3026
53061041201,3213
53061041202,6294
53061041301,6155
53061041303,4518
53061041304,2906
53061041400,5712
53061041500,1633
53061041601,6572
53061041605,6281
53061041606,6230
53061041607,3432
